port,bytes,packets
443,3187,24
22,4474,10
80,549,30
3306,3146,24
80,1707,38
3306,2112,3
22,1998,7
22,1360,7
22,2991,30
53,192,38
22,3263,25
3306,3342,2
3306,2781,13
80,1968,8
3306,335,46
25,2769,78
22,4778,16
22,39975,225
443,539479,682
80,211,8
53,3519,44
53,1830,2
3306,1923,7
80,2502,24
80,1083,7
3306,3610,18
53,2815,4
80,2218,19
3306,3559,22
3306,953,8
3306,586,44
80,1289,4
80,1890,34
3306,4942,24
25,3856,104
53,3838,5
53,4067,6
53,1063,23
443,4625,31
53,244,34
80,201311,976
22,4616,14
443,3961,3
80,1759,30
443,1337,40
22,3258,43
25,1373,68
3306,204,18
20,4885,109
443,238,27
3306,4634,13
443,1930,113
80,4189,6
80,3435,49
443,730,45
443,588215,697
22,26727,196
53,2856,29
3306,2554,32
22,3413,44
443,435537,579
53,4040,30
53,2433,11
3306,2466,47
143,4630,72
53,2686,26
22,1612,26
22,3196,18
443,4814,4
443,349997,611
80,4068,23
443,312512,300
443,639180,410
53,1307,11
443,4183,19
53,1183,5
53,2423,77
80,3843,26
443,3104,49
80,1513,27
22,2333,3
53,3042,118
443,1800,6
53,4295,32
3306,3394,17
80,297036,1133
80,3611,33
25,2966,91
22,259,47
443,3857,38
443,4876,24
80,714,41
53,1055,1
22,216,46
80,244831,1424
53,1683,9
80,4752,39
53,426,17
80,130060,1380
3306,2149,17
3306,281,23
3306,1793,39
443,1825,28
22,671,49
80,3170,44
443,443968,397
3306,4312,12
53,1815,3
80,2782,12
80,3151,13
53,1675,40
22,30993,212
443,1775,46
80,3678,4
443,1337,32
80,4918,48
53,4874,10
443,4728,6
22,3990,11
443,961,46
3306,733,13
53,4935,7
80,265,40
22,4171,19
22,1775,14
443,720,15
22,1798,13
443,1405,34
22,28740,213
443,2718,14
22,114,23
3306,997,40
80,2000,21
80,662,21
443,2589,16
22,3925,10
3306,3586,18
22,701,19
22,2473,50
443,412008,505
443,686,47
22,1999,6
80,1877,47
443,3992,24
22,4216,4
3306,4259,3
443,1172,7
80,122477,1050
3306,879,30
22,3205,35
53,1522,26
22,2309,38
22,3531,2
22,25159,201
22,4802,18
53,2483,43
443,2658,48
3306,4815,48
80,4477,46
80,295458,1356
80,3209,48
53,3539,32
80,1433,10
80,602,47
22,3363,8
80,1454,44
80,4724,26
3306,4137,47
443,3878,82
3306,1966,37
22,35095,208
443,4348,46
443,4306,13
80,1999,3
53,3828,10
53,1907,5
3306,1983,4
80,194836,1462
3306,2915,7
22,4574,50
53,2287,41
22,46513,248
3306,2925,4
22,1457,33
3306,4242,13
80,4462,6
22,2111,2
110,4856,90
80,483,15
3306,4364,46
22,3414,12
443,3024,39
80,1191,10
80,3887,8
80,2946,11
22,58620,231
22,42345,184
53,4707,3
80,3750,48
53,1283,44
25,3481,85
80,2252,32
443,4933,2
22,53291,246
443,297,17
25,2918,115
443,699169,421
3306,2975,11
53,4421,30
3306,3526,7
443,3428,34
22,1660,22
3306,1503,37
53,1972,15
22,2040,19
22,4901,1
443,4838,2
3306,3502,13
443,1438,49
22,1606,16
53,3564,28
53,1220,14
143,2111,88
80,2542,27
80,2027,30
443,3409,23
443,559578,437
443,3414,43
20,2783,102
3306,4236,13
53,1067,21
443,208,25
3306,1578,2
443,2107,31
3306,4481,6
22,4840,48
443,513099,446
80,4009,8
3306,4294,29
80,1665,2
22,2679,28
3306,3757,49
3306,1885,45
22,50476,181
20,2192,115
443,4724,8
53,3964,24
53,3857,49
3306,3608,9
3306,2145,10
80,190077,940
80,282041,1055
53,878,19
80,195608,1339
80,1741,44
80,106925,908
22,418,34
3306,2587,3
22,3465,36
22,863,9
80,182134,1449
80,4116,10
53,1965,2
80,3921,35
53,4329,17
80,128738,1224
80,4683,26
80,847,39
80,109490,1074
3306,548,20
53,606,15
143,4694,88
443,647025,487
443,3926,22
80,2165,7
443,434234,664
22,55241,208
3306,1190,31
53,3172,2
53,1649,20
443,371507,545
22,28589,200
443,923,5
53,722,25
22,56167,246
80,110698,960
3306,3521,40
53,4799,26
22,2884,116
22,47833,237
80,222338,1144
22,4299,29
22,3085,31
443,2629,50
80,4596,7
80,828,48
22,3364,17
443,4462,6
53,1527,46
80,280434,949
443,4422,22
3306,2743,26
80,2411,28
443,3173,118
80,1921,21
22,2751,20
80,2662,37
22,4561,11
3306,2420,39
22,1651,114
53,3070,14
443,454765,436
3306,1416,5
53,1854,18
53,3791,37
80,3431,15
443,3916,28
22,4149,41
443,1709,21
53,2728,7
22,4330,22
443,2084,38
3306,1261,13
80,4674,47
3306,208,12
22,1406,37
22,33065,184
53,3949,2
443,430326,311
443,561847,409
80,3301,7
443,642058,533
443,387598,542
3306,1445,32
80,679,1
53,3206,24
80,2089,22
3306,4432,34
443,4169,2
3306,1773,28
3306,741,15
22,1194,45
80,128847,1422
53,4262,8
53,4722,31
443,4030,42
443,4034,40
80,1684,18
443,1913,43
80,120502,978
53,1017,6
443,296,9
443,437091,474
443,1449,14
22,3546,48
53,3298,6
53,1716,17
22,659,1
3306,570,47
23,4797,115
80,2330,48
443,381,7
443,4147,35
80,2572,1
22,1246,45
80,3485,34
3306,1579,6
80,259671,1012
22,1707,1
22,2480,36
80,4804,3
443,363809,613
80,2599,35
23,3675,120
80,275917,1175
80,1688,22
443,620,32
53,3347,10
3306,1413,29
22,1421,13
443,560839,310
53,1840,46
22,2022,36
443,337,13
80,3382,22
22,2860,48
3306,2828,16
3306,2711,34
3306,989,26
110,3334,95
80,3588,30
22,48725,201
53,469,47
443,3234,39
53,3955,25
22,2766,35
80,1881,19
22,3996,19
80,139041,1198
80,1757,20
3306,2601,31
3306,1367,38
22,4476,34
22,52006,181
53,509,1
3306,4145,4
3306,3494,1
3306,144,7
22,2163,12
53,3442,46
3306,1739,38
53,2722,3
443,394664,407
80,4035,1
22,2482,14
80,1540,36
443,1705,39
80,446,3
80,2122,35
53,2173,42
80,3001,3
443,480206,655
80,4467,36
3306,1859,7
53,4082,5
3306,729,48
80,2483,7
443,676554,635
80,2967,48
22,59151,205
53,3981,13
80,4696,5
443,2658,41
53,3240,4
3306,2573,11
53,2000,37
3306,3345,18
53,509,24
80,1970,4
143,1672,112
22,2111,36
443,2939,18
80,4720,8
53,3482,13
53,3141,29
80,1642,17
443,2145,18
53,1083,2
22,2974,18
3306,1093,6
80,195639,987
22,3799,23
80,3995,36
443,3789,23
443,2287,19
80,2786,40
80,3039,35
80,1208,5
3306,4684,24
443,752,50
53,2778,46
3306,344,47
443,1402,33
443,531,30
80,4688,21
443,540048,664
443,4781,8
80,3226,41
443,676779,382
22,3219,7
80,1193,33
110,3805,120
80,265803,1371
443,687,21
443,314069,665
53,2891,2
443,1398,11
3306,3602,14
80,4560,27
443,3116,45
22,397,29
80,2370,37
53,3076,25
22,202,25
22,823,35
80,3470,2
23,3524,115
22,47828,183
53,2887,42
3306,3192,47
80,1324,46
22,31018,208
22,2684,35
80,524,9
3306,3152,43
443,4547,41
22,1191,34
3306,839,5
22,1435,9
22,4399,2
22,3488,111
53,2501,45
3306,3618,8
3306,2695,18
443,679319,487
53,3325,18
3306,576,32
80,202,1
3306,4511,31
53,3195,49
80,1739,40
3306,1141,29
53,3513,48
443,2524,19
443,2265,33
80,1160,10
53,1335,29
80,4431,111
3306,1939,46
53,1231,38
22,3857,44
22,2142,9
443,1654,8
443,4647,34
53,3714,17
80,3730,27
3306,1994,27
3306,2207,40
22,1152,26
3306,3179,42
3306,844,46
443,630,13
53,4517,5
443,239,24
22,4651,35
3306,2417,48
80,1141,44
22,1992,50
80,270423,1108
443,3530,34
443,1935,31
22,3363,3
3306,538,24
3306,4271,2
3306,2039,38
3306,543,43
80,225961,1456
443,2009,10
53,2605,25
80,1403,26
3306,4245,41
443,4690,16
80,1999,27
22,3285,14
22,45285,240
443,4675,10
3306,4097,19
443,3753,15
443,617566,632
23,4972,60
53,470,37
53,1741,25
3306,3809,41
53,4703,40
22,1470,33
80,2789,13
3306,1408,41
22,388,30
80,2266,32
80,1659,37
3306,3782,4
80,643,7
53,1934,10
80,1142,9
53,3156,38
80,246640,1305
80,174826,1150
23,4436,85
3306,4693,50
22,1563,4
22,1633,25
3306,1985,10
22,3494,26
80,648,8
53,944,21
22,536,30
3306,687,17
22,338,44
443,423488,676
3306,1353,27
443,4234,4
22,4254,9
80,208899,1014
53,3540,48
22,589,16
80,261919,1164
3306,3800,25
22,3984,44
22,890,29
53,509,26
443,694320,354
3306,546,49
22,521,44
80,3208,47
22,2897,15
443,4664,30
443,1131,41
22,1895,4
53,2933,29
80,925,38
443,3643,12
22,1472,13
143,4753,93
443,304179,389
80,1752,7
443,2346,6
3306,359,25
80,4392,29
443,2063,26
80,770,5
22,3116,10
22,3357,28
3306,3128,41
22,3967,22
53,3312,32
80,1386,21
53,4694,9
443,1153,37
80,3500,10
3306,4357,37
53,1632,37
443,2437,48
80,730,9
80,101259,1226
3306,1246,37
443,2672,39
443,1314,27
80,211377,961
22,3077,15
80,2199,42
80,3815,2
80,4586,12
53,3148,1
22,36876,231
3306,2834,30
53,334,16
80,296969,1289
22,1449,16
3306,2679,39
22,3888,23
53,3502,38
22,49882,198
53,1003,7
53,2679,39
53,3885,29
80,2832,7
22,1116,41
53,186,11
53,2389,40
80,3646,36
443,2924,18
80,650,38
80,209624,1197
3306,4404,29
22,4062,14
80,1100,19
22,4649,24
80,992,50
80,3374,35
443,826,46
443,3837,8
80,197,37
53,2009,14
22,3822,20
53,2277,11
53,792,13
80,3133,24
22,46607,240
443,4857,36
443,2707,29
53,4592,6
443,588,42
80,2960,37
53,3243,42
22,42541,249
22,3854,36
22,162,45
443,681,11
22,39682,231
3306,251,37
3306,1986,12
22,3234,19
53,4519,5
80,2344,6
80,201944,1207
443,863,41
3306,3048,20
3306,1924,41
22,452,39
80,1634,27
443,1401,31
22,31340,249
53,4483,5
443,354,31
80,2689,50
443,3204,8
53,1913,15
53,4423,6
22,31425,228
443,3381,31
22,4778,37
80,3517,79
443,2670,6
22,3945,35
80,558,8
443,4498,91
443,413521,395
80,2597,77
53,831,40
3306,2696,14
53,369,30
22,39576,225
443,1304,26
443,4886,22
443,628549,425
80,4436,5
22,4077,27
53,149,12
80,272468,949
80,182780,968
3306,2078,23
3306,3517,19
22,3843,49
3306,4134,25
3306,1375,47
443,2668,20
80,4809,3
80,150084,1006
53,4104,49
53,668,8
3306,712,27
80,4925,42
80,2059,41
22,4661,26
3306,4590,26
22,4212,19
80,3105,72
443,3181,32
80,218578,1224
80,3870,17
22,1157,12
443,2561,48
22,44376,248
80,3437,26
80,158625,1040
53,4263,27
80,2775,46
53,577,5
80,4215,27
53,4540,22
3306,3373,2
22,3018,15
22,1581,50
80,281,29
22,58271,229
53,364,36
22,605,23
80,3919,19
3306,3559,16
53,1839,41
443,264,34
53,3028,83
80,1814,49
80,2830,31
22,59073,197
443,4819,72
22,54357,216
80,1659,41
22,1422,10
22,37010,219
80,2415,13
443,4040,117
3306,4499,23
3306,4108,22
80,3586,7
443,4282,66
22,860,38
53,4584,108
53,2647,26
22,35673,195
3306,4497,27
3306,2343,50
53,2815,30
22,1967,46
80,3692,33
3306,930,19
443,2066,7
22,3676,14
53,1504,3
53,581,9
80,283603,1347
443,4562,15
22,26831,212
22,4772,28
53,3786,3
80,158591,1148
22,2264,32
80,4319,15
53,727,18
443,4827,9
443,1850,40
22,553,46
22,3900,20
80,124303,1196
22,3238,17
3306,3326,36
22,4315,19
80,1314,34
22,1626,27
53,3317,27
22,4232,31
22,2145,27
443,4997,42
3306,1521,30
53,1055,9
80,964,7
80,3173,28
3306,3726,15
22,996,48
53,3991,49
53,343,12
22,1355,25
3306,3690,49
3306,1091,39
80,4999,36
22,2242,42
22,4556,4
22,1510,34
22,2750,30
22,137,29
22,2218,23
443,513719,449
443,2104,35
53,2196,9
53,1898,11
53,3090,1
443,2821,36
443,4233,26
53,3495,21
80,101809,1325
443,306148,579
22,4945,38
53,1543,28
443,373289,307
3306,3737,41
110,4688,112
22,38965,183
443,3769,18
80,2177,36
443,852,14
53,1730,45
443,2835,18
53,3103,13
22,1177,28
3306,4320,26
443,3372,37
80,231323,946
22,4541,44
80,4859,48
80,257219,1310
80,110218,1319
3306,1951,20
22,37692,211
53,3270,15
53,4436,17
3306,2289,6
53,1655,75
443,2110,37
22,4979,17
80,174795,1034
3306,1301,10
3306,4026,33
80,1174,6
22,2925,39
443,3395,9
22,2868,34
80,3173,37
53,1860,19
80,2936,37
443,360456,658
3306,388,49
80,161013,901
53,3794,104
443,1977,40
443,2536,7
22,1317,1
80,1336,41
53,1015,26
22,2748,23
443,670404,391
80,2215,9
80,3731,38
53,1757,29
3306,3300,29
3306,3250,36
80,160154,1366
80,198,19
3306,1396,9
443,1017,45
443,4606,28
443,661154,548
443,2015,11
3306,127,46
80,4102,15
80,3057,39
443,2428,23
443,582,30
53,1340,36
80,2560,26
143,3968,83
443,160,17
443,1117,12
443,1597,19
3306,3641,26
443,184,5
22,1200,3
80,4733,13
443,1365,38
53,1051,15
22,210,7
53,4847,84
80,241193,913
22,2351,2
22,2945,33
53,971,29
53,1212,16
443,2755,20
443,932,42
80,1307,38
443,516570,500
443,529,21
80,116861,1190
22,4531,16
53,2755,29
22,2816,31
443,2161,22
25,1727,66
80,1462,26
80,218334,1499
80,3981,29
22,1018,6
22,1614,47
80,132160,1375
3306,2379,18
80,259713,1365
3306,104,6
3306,1325,19
443,2518,36
80,2635,43
3306,1990,28
443,3143,45
80,250039,984
3306,383,22
22,2464,13
22,981,49
3306,1467,29
53,4526,4
3306,137,27
22,3023,47
443,3865,11
443,423490,596
3306,2590,50
22,1851,48
80,147604,1291
53,126,40
443,2187,1
22,1379,50
23,3940,86
80,190460,962
443,3009,19
443,321471,354
443,480844,321
22,31692,183
80,2459,15
80,264928,1326
3306,4385,44
3306,2579,44
22,254,10
443,2863,36
22,2028,34
443,1537,7
22,3938,63
443,1277,28
80,227423,942
3306,2106,12
22,3653,6
443,1651,21
22,1030,6
3306,3129,30
443,503,28
53,1178,29
22,1597,42
80,4199,29
443,363,41
22,25154,236
22,1182,22
443,370674,352
53,1481,21
80,287103,1286
22,2754,71
22,3927,36
22,30151,188
443,1475,28
53,202,25
443,4294,9
3306,2856,45
443,1540,6
53,1419,1
3306,4476,18
80,2889,21
443,4027,25
443,1280,40
443,4422,2
443,4888,29
80,1682,14
443,4251,13
22,39324,248
22,2234,11
22,1649,7
22,29499,191
3306,1739,39
443,349,10
3306,4321,16
3306,2611,21
22,30981,199
80,178419,1239
443,636079,390
443,3910,45
3306,333,19
3306,1272,24
443,676,27
443,4614,4
3306,2031,40
443,438501,646
3306,3278,13
22,53048,222
3306,1915,42
3306,357,30
22,53366,187
443,320,5
80,4297,5
22,4494,35
22,3183,49
80,224500,1198
80,264338,1435
53,1337,43
443,2983,48
80,236445,971
80,254690,945
443,477817,445
80,112373,1056
443,1777,10
3306,4375,39
53,3589,19
22,4993,11
80,1051,20
80,3662,6
53,3038,26
443,3845,5
3306,1771,38
80,1086,41
53,2503,3
22,1941,90
80,1207,1
3306,4032,24
22,38862,234
22,254,24
22,45174,190
443,4549,16
53,3964,28
53,3954,23
53,1824,6
80,1285,9
3306,323,39
443,4490,31
80,236133,1299
443,3269,38
80,103788,1140
3306,3585,32
443,1210,6
443,636989,420
3306,4493,43
80,229467,1327
443,584615,356
22,2598,9
443,4527,7
53,217,50
22,1129,42
80,824,25
3306,887,26
80,597,26
143,1388,97
443,243,27
22,2592,49
53,2130,44
443,229,21
22,58262,217
80,1619,13
443,572499,653
22,43932,231
53,2634,44
443,4610,42
443,1829,27
53,1179,48
22,1134,24
80,3228,5
3306,2870,34
80,4240,8
80,1483,1
53,3506,43
53,2685,27
3306,3409,42
143,1216,106
80,257069,918
80,270676,997
80,1637,3
80,801,33
22,1521,13
22,4942,30
80,2369,33
80,1782,6
443,3237,2
80,4366,34
21,1377,99
80,3610,6
80,222686,1139
53,440,12
3306,561,7
22,27976,239
3306,128,18
3306,4750,28
3306,2837,32
443,4702,38
22,1117,28
80,1896,29
22,4825,32
22,2520,19
53,3704,15
53,3354,31
443,566141,360
3306,447,34
80,750,6
443,2861,47
3306,4165,36
443,487036,666
443,476487,433
80,702,7
22,44415,230
443,708,15
53,2905,5
22,370,49
22,939,14
443,4159,41
53,122,5
80,3589,23
80,2624,33
80,3090,16
3306,4056,46
3306,2284,46
22,2654,42
80,152,40
443,2211,26
22,45980,204
3306,3976,20
80,4208,50
22,53960,187
22,1580,13
3306,3014,23
22,32855,246
53,3369,18
3306,1695,4
22,34430,230
443,847,41
3306,1018,19
143,3761,105
80,3040,34
53,2850,39
443,4173,33
80,2116,37
53,2854,29
443,452645,324
53,1492,25
3306,3432,20
443,4404,28
22,1677,35
80,253884,1487
53,3897,26
22,4700,10
53,1806,34
53,4094,22
53,966,9
53,4824,50
25,3697,90
22,2371,89
443,1818,17
3306,2423,38
443,3966,40
22,43095,234
3306,1118,20
80,105722,1117
53,204,20
443,3157,26
53,3460,41
443,3294,1
80,2685,16
80,2166,11
443,3074,33
53,331,43
80,871,46
80,1484,39
22,37162,204
53,2432,41
53,4118,10
443,692796,599
443,2016,38
22,422,31
80,1167,32
80,3376,5
22,1851,36
80,680,2
53,2531,7
53,1476,29
53,1624,9
80,3935,42
443,3415,20
443,1048,13
80,3685,48
22,2577,45
53,3924,34
3306,338,39
80,1391,118
80,1615,45
53,2036,36
3306,4521,48
22,25111,210
22,3228,9
22,1167,25
80,249503,998
53,117,28
21,2974,83
22,3984,16
443,2780,13
80,1712,7
3306,3468,46
22,4289,11
3306,462,37
53,2691,30
3306,3918,26
443,583612,476
443,691895,562
3306,3903,7
53,4198,14
53,2876,12
80,4239,8
53,3620,7
80,4037,12
443,4794,29
443,2495,26
22,44684,250
22,2598,41
53,2117,6
20,2542,111
443,3189,44
443,2537,34
80,4110,15
80,2113,40
53,4077,50
22,1564,21
80,3696,29
80,1404,30
80,2832,9
443,4348,23
22,4027,40
22,2596,33
53,1232,32
443,3994,32
80,4598,36
22,2839,15
443,3753,21
22,414,3
80,2087,1
53,1015,36
22,33406,193
3306,4592,30
22,2961,20
80,1911,9
22,3600,40
53,4064,50
22,156,17
22,2364,27
3306,2456,1
22,34708,195
80,117566,1150
443,2290,50
53,4913,47
20,1381,66
443,640079,490
443,1150,12
80,258846,1059
22,29114,206
22,3679,21
143,4374,113
443,3661,11
443,4136,39
22,329,34
443,672333,637
80,134614,1266
53,4219,44
80,881,44
443,3455,19
443,3241,29
22,54284,202
80,1398,46
443,1083,6
53,4928,34
53,1722,3
53,3311,10
80,1248,18
443,4361,18
80,239535,1351
3306,1726,16
443,1379,33
53,3307,37
3306,1240,12
443,3170,43
22,2341,19
143,2791,66
22,52669,200
21,4741,85
80,2020,26
3306,978,26
53,4785,12
53,3495,14
22,112,47
443,3304,24
22,2219,50
443,188,18
80,2066,32
443,679,26
443,540368,510
22,373,33
80,1111,28
80,2513,36
22,40906,197
22,2949,25
443,1334,106
22,30525,189
22,27013,250
3306,4028,1
53,3801,35
80,1895,29
53,3284,25
80,2753,15
53,1801,4
53,3699,34
22,385,35
80,172687,1152
80,3681,9
3306,356,18
23,2734,71
3306,1258,25
80,1895,1
80,271507,1244
3306,4660,36
53,4860,3
22,3565,7
22,28788,203
443,552329,576
22,3026,13
22,33620,236
443,1613,41
22,44970,183
3306,4767,14
3306,3843,36
443,325866,371
53,4903,22
22,1926,40
443,4580,36
3306,222,10
80,4916,19
80,345,43
3306,1434,23
80,148055,1264
443,819,6
80,110734,1243
3306,2257,40
80,2951,19
3306,4292,19
22,2438,37
3306,4301,31
22,38716,213
53,2241,4
21,3104,70
443,498013,429
143,2809,90
80,1365,36
3306,4964,20
53,966,8
53,3918,4
80,1188,14
22,53562,213
443,555689,463
80,3905,18
3306,3324,5
3306,2631,15
443,362156,469
53,666,42
22,50948,218
80,2877,33
443,4211,37
143,1010,82
443,2667,25
443,230,29
3306,1508,6
20,1385,113
3306,836,49
443,1142,11
22,39883,234
80,2943,4
443,4089,2
443,1561,24
22,1101,50
443,3340,48
443,3928,21
22,3570,8
53,607,49
22,3113,45
53,210,19
53,3817,36
80,185274,1358
143,1440,88
80,1478,37
22,56586,209
22,2397,46
443,2139,13
443,581664,416
3306,3474,28
53,4544,11
53,3289,9
22,4967,39
80,728,4
443,1668,33
53,1312,40
443,923,40
22,754,28
22,2241,50
443,392909,451
3306,4314,15
3306,1335,12
53,3003,39
3306,2506,41
80,3162,6
80,211482,1107
3306,4454,16
22,2513,20
53,1803,30
53,377,29
22,47965,228
80,3013,81
443,1013,33
80,271472,1040
443,438483,681
22,2094,33
53,750,26
3306,517,36
443,551,30
80,4491,26
22,2247,26
22,2859,27
3306,3058,32
443,3718,15
22,35903,212
22,2701,10
80,550,16
22,40872,214
3306,4837,45
3306,4596,32
443,1766,44
22,1193,25
80,2809,43
443,495,8
3306,655,28
80,4053,16
53,1473,5
443,543742,352
22,4740,67
443,546243,336
80,4719,5
53,2144,33
3306,3298,23
80,2633,24
22,3039,34
3306,4153,3
22,3860,12
22,57648,224
80,4875,44
22,3263,9
443,928,7
80,922,48
80,4243,23
443,481777,608
80,1908,44
53,4749,38
3306,2113,22
80,4608,47
80,2083,46
443,1373,16
443,343058,407
22,3854,34
80,3963,33
443,4110,33
23,1616,60
22,2036,33
22,1426,29
22,791,24
53,3274,8
22,2070,5
22,4358,8
22,42622,197
3306,3780,47
443,1643,49
443,1504,3
3306,4353,2
80,4727,26
80,3892,6
443,367690,397
53,3399,16
80,195,30
22,35695,244
21,2495,99
80,288928,1185
80,4463,22
80,2841,92
3306,3518,26
22,36244,192
443,4880,1
53,3470,10
53,376,8
3306,1873,33
80,274273,1308
22,3290,85
22,4971,22
443,3311,22
53,2520,41
53,1829,48
443,592396,420
53,3616,28
443,736,15
80,3079,26
3306,527,46
443,699947,580
443,123,28
3306,4763,12
22,2943,95
80,2397,32
443,510481,308
443,2025,43
443,4846,17
53,2348,41
3306,4071,50
22,31586,208
443,561055,460
80,1727,49
3306,2258,40
80,2797,40
22,1770,9
443,1981,17
53,2942,6
53,2296,50
3306,3253,5
53,4564,19
443,4046,28
20,3272,89
53,443,34
21,4976,61
80,4766,65
22,57481,181
80,4401,21
53,4604,44
53,1765,19
22,41196,193
80,560,4
22,3619,26
22,3838,1
80,157269,976
443,640282,494
22,2662,2
110,3677,75
443,682813,443
53,4956,34
443,1410,31
22,4284,32
22,3032,6
443,4381,48
443,1314,49
443,2303,31
443,2890,26
80,2174,36
22,1310,49
80,854,44
3306,2811,8
53,1227,17
3306,4908,7
53,2216,44
53,2243,22
22,4511,20
22,3390,22
22,3109,60
22,2177,48
3306,3054,11
53,2870,21
80,2865,49
443,2626,11
53,3172,1
22,4700,7
80,2221,18
20,1975,82
443,4686,28
443,2871,16
3306,3023,26
53,1860,13
22,692,34
80,1904,21
53,3761,19
53,575,26
443,327954,471
80,377,16
3306,3718,24
22,4397,48
22,43591,212
3306,1179,42
80,166017,937
443,1529,20
80,3011,5
53,3641,37
22,47544,200
3306,2461,7
22,1880,29
53,442,29
53,4597,2
3306,2296,16
25,1698,94
80,283030,1292
80,394,48
22,1389,9
3306,1460,13
443,2045,14
443,4357,9
443,1699,34
22,321,32
443,3411,109
3306,2619,5
53,4628,46
443,1939,2
22,33085,193
22,339,10
53,3027,15
22,3385,1
80,4940,48
80,766,24
22,48682,247
3306,1890,27
443,445319,361
22,34853,239
443,4293,17
22,263,3
443,483408,351
3306,2411,13
443,4186,18
53,2291,17
22,742,21
3306,698,43
3306,1331,1
53,3177,11
443,4549,1
53,4644,5
80,1135,11
53,2141,44
53,722,46
3306,1951,19
443,4639,6
443,4666,39
22,4616,15
53,1449,34
53,2801,26
22,1392,30
53,3316,34
443,531,10
3306,2921,1
53,1798,20
80,4365,3
110,3459,94
443,1063,38
80,3583,26
53,1732,19
80,293134,1486
443,4153,24
22,36798,247
22,28178,223
443,697129,570
443,569,13
22,52752,200
53,3300,18
80,235070,1122
22,222,34
3306,284,36
22,1787,41
22,50191,244
443,605,45
443,1628,45
3306,1946,8
53,4120,1
443,863,37
23,4915,73
443,2811,28
443,2238,20
80,1317,8
22,1474,1
443,1554,24
443,565343,338
80,2571,5
3306,1040,24
80,1680,20
80,163574,918
53,1379,21
22,42302,205
22,31914,207
53,1316,34
443,3382,35
443,388958,697
80,289662,942
53,3842,28
3306,646,31
53,4005,45
80,2917,2
22,3419,60
80,3724,18
80,158930,1447
80,4981,5
3306,4972,37
22,31131,245
443,3211,6
443,2032,13
443,4196,50
443,1023,42
80,1590,16
3306,1580,19
53,4233,12
53,1745,27
80,4332,12
443,202,31
3306,2509,27
443,2958,18
443,3375,45
80,2638,2
22,56930,250
443,4685,44
443,2110,17
3306,676,1
22,40174,209
443,336,5
22,52154,248
443,4448,49
22,4301,50
53,455,42
443,1046,34
53,1463,12
3306,2967,34
80,486,27
80,3408,41
53,4330,2
443,705,40
443,348,35
53,3348,34
53,1277,85
443,2268,42
80,2023,2
80,768,28
53,3467,47
80,146949,1426
3306,3649,3
80,2456,6
22,1402,43
53,1449,44
80,4668,28
443,4431,44
110,2721,109
3306,1420,44
80,170675,1284
80,109540,1062
22,757,39
80,2521,12
22,3124,14
22,2985,42
3306,2938,24
443,1908,30
80,4730,11
3306,4515,10
22,1998,46
53,4134,16
443,4342,48
443,3827,39
22,3622,49
53,195,36
443,857,12
443,3534,29
